method,terrain,metric,mean,std,max,min,smoothed_mean,smoothed_max
attn_baseline,gap,traverse_rate,47.0540,3.5320,60.4479,35.5144,47.0555,51.6820
attn_baseline,gap,survival_rate,72.7294,6.9174,94.0000,42.0000,72.7181,80.1955
attn_baseline,gap,success_rate,5.1596,3.1125,22.0000,0.0000,5.1594,9.2095
attn_baseline,gap,success@0.5,41.7631,7.1012,66.0000,18.0000,41.7616,49.7010
attn_baseline,gap,success@0.8,10.3496,4.4240,28.0000,0.0000,10.3539,16.1117
attn_baseline,stair,traverse_rate,42.1218,3.2170,54.0433,29.1611,42.1199,45.4534
attn_baseline,stair,survival_rate,62.2652,7.0273,86.0000,36.0000,62.2647,71.0232
attn_baseline,stair,success_rate,2.7371,2.3765,14.0000,0.0000,2.7399,6.1932
attn_baseline,stair,success@0.5,33.1093,6.9491,62.0000,6.0000,33.1038,42.3598
attn_baseline,stair,success@0.8,5.5048,3.2746,20.0000,0.0000,5.5075,9.5368
attn_baseline,global,Episode/lin_vel_tracking_error,0.2042,0.0097,0.2998,0.1793,0.2043,0.2154
attn_baseline,global,Episode/rew_feet_slippage,-0.0603,0.0021,-0.0534,-0.0713,-0.0603,-0.0575
attn_baseline,global,Attention/entropy_avg,4.4607,0.0380,4.5805,4.3313,4.4611,4.5654
attn_baseline,global,Attention/front_region_weight,0.3219,0.0092,0.3482,0.2964,0.3220,0.3413
attn_baseline,global,Attention/top10_ratio,0.3421,0.0107,0.3802,0.3047,0.3420,0.3691
attn_baseline,global,Attention/max_weight,0.0710,0.0035,0.0843,0.0603,0.0709,0.0813
ablation_no_kl,stepping_stones,traverse_rate,36.2006,3.1966,49.1168,25.7555,36.1988,40.0222
ablation_no_kl,stepping_stones,survival_rate,31.6184,6.7118,60.0000,10.0000,31.5965,38.6169
ablation_no_kl,stepping_stones,success_rate,2.6162,2.2789,14.0000,0.0000,2.6135,5.4434
ablation_no_kl,stepping_stones,success@0.5,22.8395,5.9671,46.0000,6.0000,22.8336,29.3650
ablation_no_kl,stepping_stones,success@0.8,5.3534,3.2328,18.0000,0.0000,5.3514,9.0123
ablation_no_kl,parkour,traverse_rate,39.3566,3.5311,51.7496,28.2246,39.3498,44.0356
ablation_no_kl,parkour,survival_rate,41.2861,7.2749,68.0000,12.0000,41.2638,50.9644
ablation_no_kl,parkour,success_rate,3.2448,2.4997,14.0000,0.0000,3.2452,5.9760
ablation_no_kl,parkour,success@0.5,29.9767,6.6956,54.0000,8.0000,29.9734,39.6479
ablation_no_kl,parkour,success@0.8,6.8242,3.6067,26.0000,0.0000,6.8175,11.2287
ablation_no_kl,gap,traverse_rate,48.7521,3.5390,61.8083,37.3105,48.7461,52.6785
ablation_no_kl,gap,survival_rate,76.4766,6.1402,96.0000,56.0000,76.4696,83.3930
ablation_no_kl,gap,success_rate,5.3698,3.2055,22.0000,0.0000,5.3716,9.2610
ablation_no_kl,gap,success@0.5,44.8695,7.1453,72.0000,18.0000,44.8477,53.1449
ablation_no_kl,gap,success@0.8,11.1898,4.6338,32.0000,0.0000,11.1867,17.8539
ablation_no_kl,stair,traverse_rate,40.0979,3.4580,51.5164,28.4660,40.0940,44.9123
ablation_no_kl,stair,survival_rate,62.2410,7.3034,86.0000,38.0000,62.2267,71.7145
ablation_no_kl,stair,success_rate,2.5179,2.1958,12.0000,0.0000,2.5146,5.5962
ablation_no_kl,stair,success@0.5,33.7100,7.2210,62.0000,8.0000,33.6965,44.0085
ablation_no_kl,stair,success@0.8,4.7339,3.0091,20.0000,0.0000,4.7312,8.6433
ablation_no_kl,global,Episode/lin_vel_tracking_error,0.2090,0.0094,0.3017,0.1813,0.2090,0.2197
ablation_no_kl,global,Episode/rew_feet_slippage,-0.0592,0.0021,-0.0523,-0.0700,-0.0592,-0.0568
ablation_no_kl,global,Attention/entropy_avg,4.4488,0.0534,4.5647,4.2552,4.4496,4.5299
ablation_no_kl,global,Attention/front_region_weight,0.3706,0.0105,0.4022,0.3393,0.3706,0.3935
ablation_no_kl,global,Attention/top10_ratio,0.3760,0.0174,0.4342,0.3352,0.3758,0.4287
ablation_no_kl,global,Attention/max_weight,0.0907,0.0078,0.1206,0.0732,0.0906,0.1174
ablation_depth_actor,stepping_stones,traverse_rate,37.2887,3.3220,50.2773,27.2810,37.2900,41.0071
ablation_depth_actor,stepping_stones,survival_rate,35.8433,6.9380,60.0000,10.0000,35.8410,44.9196
ablation_depth_actor,stepping_stones,success_rate,2.7128,2.3107,14.0000,0.0000,2.7117,5.8419
ablation_depth_actor,stepping_stones,success@0.5,24.9318,6.3933,50.0000,6.0000,24.9352,33.5737
ablation_depth_actor,stepping_stones,success@0.8,5.7627,3.3497,20.0000,0.0000,5.7673,9.8488
ablation_depth_actor,parkour,traverse_rate,39.7458,3.4718,54.7385,28.0942,39.7450,43.5499
ablation_depth_actor,parkour,survival_rate,43.7557,7.0362,68.0000,22.0000,43.7482,51.2368
ablation_depth_actor,parkour,success_rate,3.3101,2.5583,18.0000,0.0000,3.3118,7.1184
ablation_depth_actor,parkour,success@0.5,30.3428,6.6173,60.0000,10.0000,30.3432,38.0426
ablation_depth_actor,parkour,success@0.8,7.0476,3.6378,24.0000,0.0000,7.0484,11.4257
ablation_depth_actor,gap,traverse_rate,48.5286,3.4742,61.7448,36.4720,48.5304,54.3703
ablation_depth_actor,gap,survival_rate,76.6017,6.1804,98.0000,52.0000,76.5988,83.4977
ablation_depth_actor,gap,success_rate,5.2499,3.2066,20.0000,0.0000,5.2525,9.1959
ablation_depth_actor,gap,success@0.5,44.5647,7.1477,70.0000,22.0000,44.5735,56.3041
ablation_depth_actor,gap,success@0.8,11.1082,4.5290,32.0000,0.0000,11.1102,17.3729
ablation_depth_actor,stair,traverse_rate,40.3879,3.4528,53.5916,28.6573,40.3764,44.4160
ablation_depth_actor,stair,survival_rate,65.1261,7.3073,92.0000,38.0000,65.1252,72.9935
ablation_depth_actor,stair,success_rate,2.6862,2.3119,12.0000,0.0000,2.6807,6.3186
ablation_depth_actor,stair,success@0.5,34.7864,7.1073,68.0000,12.0000,34.7772,44.0141
ablation_depth_actor,stair,success@0.8,4.8276,3.0634,18.0000,0.0000,4.8177,8.4210
ablation_depth_actor,global,Episode/lin_vel_tracking_error,0.2093,0.0087,0.2731,0.1799,0.2093,0.2173
ablation_depth_actor,global,Episode/rew_feet_slippage,-0.0613,0.0022,-0.0543,-0.0731,-0.0613,-0.0582
ablation_depth_actor,global,Attention/entropy_avg,4.7789,0.0087,4.8079,4.7498,4.7790,4.7932
ablation_depth_actor,global,Attention/prior_attn_cosine,0.9715,0.0008,0.9739,0.9686,0.9714,0.9727
ablation_depth_actor,global,Attention/front_region_weight,0.2799,0.0024,0.2881,0.2722,0.2799,0.2839
ablation_depth_actor,global,Attention/top10_ratio,0.1858,0.0026,0.1945,0.1764,0.1857,0.1898
ablation_depth_actor,global,Attention/max_weight,0.0224,0.0004,0.0238,0.0210,0.0224,0.0231
ablation_no_forward,stepping_stones,traverse_rate,37.0698,3.2425,50.0707,26.2220,37.0717,41.6513
ablation_no_forward,stepping_stones,survival_rate,36.0447,7.0195,62.0000,14.0000,36.0220,45.1390
ablation_no_forward,stepping_stones,success_rate,2.6658,2.2952,14.0000,0.0000,2.6673,6.0245
ablation_no_forward,stepping_stones,success@0.5,24.3352,6.2957,52.0000,4.0000,24.3386,32.0747
ablation_no_forward,stepping_stones,success@0.8,5.5288,3.2457,18.0000,0.0000,5.5303,8.7460
ablation_no_forward,parkour,traverse_rate,39.5678,3.3731,53.5934,28.3335,39.5748,43.1838
ablation_no_forward,parkour,survival_rate,43.6898,7.3110,72.0000,16.0000,43.6860,51.9181
ablation_no_forward,parkour,success_rate,2.8797,2.3994,12.0000,0.0000,2.8820,5.8218
ablation_no_forward,parkour,success@0.5,30.3242,6.6587,58.0000,10.0000,30.3320,37.9008
ablation_no_forward,parkour,success@0.8,6.4072,3.5439,22.0000,0.0000,6.4112,10.5864
ablation_no_forward,gap,traverse_rate,48.3732,3.4450,59.8708,35.8471,48.3832,53.1920
ablation_no_forward,gap,survival_rate,76.4658,6.1664,98.0000,50.0000,76.4557,83.4927
ablation_no_forward,gap,success_rate,5.2702,3.1933,20.0000,0.0000,5.2766,8.7952
ablation_no_forward,gap,success@0.5,44.2542,7.2004,70.0000,20.0000,44.2670,53.5221
ablation_no_forward,gap,success@0.8,11.0293,4.4288,28.0000,0.0000,11.0443,16.1047
ablation_no_forward,stair,traverse_rate,40.0611,3.4331,53.1684,27.6900,40.0599,43.6581
ablation_no_forward,stair,survival_rate,64.5435,7.4259,88.0000,38.0000,64.5157,73.5986
ablation_no_forward,stair,success_rate,2.4962,2.2156,12.0000,0.0000,2.4979,5.9342
ablation_no_forward,stair,success@0.5,33.3779,6.8553,60.0000,12.0000,33.3675,41.8961
ablation_no_forward,stair,success@0.8,4.7331,3.1274,22.0000,0.0000,4.7315,9.0035
ablation_no_forward,global,Episode/lin_vel_tracking_error,0.2097,0.0095,0.2574,0.1826,0.2097,0.2189
ablation_no_forward,global,Episode/rew_feet_slippage,-0.0627,0.0022,-0.0550,-0.0707,-0.0627,-0.0597
ablation_no_forward,global,Attention/entropy_avg,4.8411,0.0086,4.8713,4.8065,4.8410,4.8590
ablation_no_forward,global,Attention/prior_attn_cosine,0.9627,0.0008,0.9657,0.9600,0.9627,0.9640
